Los datos a continuación se encuentran en formato (F,b) donde 'F' es la suma de los tiempos de finalización correspondientes y 'b' la importacia de la batalla:
1,196
5,672
8,697
5,291
3,630
5,912
8,472
6,935
6,784
10,884
10,988
1,142
4,95
5,60
3,855
6,501
7,861
3,429
6,62
10,867
6,674
4,950
6,89
1,684
6,118
4,416
2,160
4,528
5,793
8,588
3,22
9,256
10,775
1,977
4,124
6,895
8,846
3,180
1,393
4,965
9,766
6,274
3,221
7,189
5,691
5,740
9,266
3,413
8,124
4,58
5,371
3,870
9,142
1,335
6,813
8,539
9,296
9,806
5,583
5,944
3,496
7,19
2,217
5,735
3,784
8,790
7,369
8,146
3,621
5,854
9,927
3,152
6,537
5,859
7,298
3,637
5,368
8,988
6,403
8,32
10,834
8,631
9,478
3,671
3,352
3,717
10,946
8,195
1,524
2,839
2,590
2,860
3,541
2,955
3,449
2,230
7,661
10,672
2,462
7,184
9,709
3,819
5,833
2,893
4,253
3,639
1,844
6,459
10,56
5,369
4,324
10,605
10,72
2,480
7,534
9,135
2,859
8,259
4,786
10,491
10,304
2,518
7,1
2,786
3,262
3,321
4,659
1,270
6,545
6,225
5,957
7,904
6,353
1,184
3,595
5,716
5,567
4,131
7,411
8,564
5,109
6,426
3,708
8,604
9,771
9,537
7,292
8,43
9,666
3,954
1,382
3,824
6,484
10,645
2,849
5,371
9,717
8,537
2,647
8,382
9,638
8,705
4,857
4,997
8,51
7,900
7,930
9,218
3,328
4,903
6,416
7,104
9,440
7,164
9,143
5,544
7,526
7,865
5,942
4,251
8,429
2,381
9,138
1,475
10,33
9,694
8,647
7,949
9,848
8,601
8,356
9,175
4,875
6,383
5,491
8,561
5,457
4,568
7,527
6,809
10,172
6,615
10,405
10,960
2,153
2,577
7,207
2,82
7,249
8,504
3,229
5,884
10,521
5,379
9,128
2,144
1,880
9,454
2,823
9,378
4,56
8,358
6,337
10,215
7,125
4,967
2,813
7,716
9,711
8,73
8,448
1,112
6,602
8,106
10,567
10,160
1,612
10,762
5,824
8,742
7,605
8,363
7,132
10,526
7,189
10,333
8,413
9,230
2,252
2,505
6,144
3,671
6,1
7,342
9,713
8,278
5,11
6,712
2,929
9,153
2,496
6,625
3,897
7,220
7,510
3,364
9,557
7,358
8,896
10,118
9,482
9,596
10,19
8,118
6,50
5,881
7,881
1,243
6,147
7,220
8,271
1,182
6,519
6,924
2,396
8,173
4,2
3,366
10,828
1,203
1,608
9,687
9,939
10,60
9,23
10,963
1,651
4,458
1,403
6,909
9,973
2,976
7,475
5,994
1,51
2,322
8,552
7,531
9,854
7,324
6,104
10,154
3,588
1,390
3,185
6,453
5,649
9,822
8,779
4,772
2,579
3,919
2,787
4,367
10,720
5,413
5,633
6,177
4,387
4,255
9,89
1,745
2,18
3,909
6,249
4,552
10,847
7,606
6,275
2,375
5,467
10,258
3,441
5,368
3,957
8,137
3,343
5,903
1,734
2,757
4,296
8,116
6,854
4,71
5,623
2,629
8,518
3,909
1,180
8,677
7,148
3,450
9,495
6,739
6,152
10,596
6,29
2,250
9,584
10,961
4,600
3,7
1,942
5,195
2,214
9,956
4,485
5,876
8,695
8,10
7,611
9,485
6,446
10,206
6,646
10,624
6,439
5,363
1,566
8,94
5,224
7,798
2,881
10,254
2,439
10,755
1,469
7,299
4,907
3,575
4,82
9,358
7,921
3,14
7,459
5,593
5,80
5,787
1,224
6,429
3,599
8,102
8,605
5,312
5,785
10,55
4,182
3,327
7,517
6,915
1,295
8,422
9,110
6,570
10,48
10,899
1,253
5,92
2,905
2,194
1,1000
9,862
7,541
10,661
4,371
5,802
9,90
7,856
7,819
4,751
10,348
3,55
6,87
5,211
2,779
5,813
10,313
2,121
6,811
7,479
7,9
8,883
2,567
9,567
7,782
9,190
9,247
10,569
7,360
10,934
5,697
6,522
10,231
1,669
9,944
5,610
10,734
5,571
1,783
4,798
4,184
3,527
4,688
10,212
4,341
9,173
6,994
1,974
7,48
3,94
4,782
8,213
2,272
7,136
2,397
7,617
3,226
3,744
1,204
8,794
2,151
6,436
8,591
4,996
4,365
6,395
7,527
4,383
6,872
1,548
6,227
1,738
8,554
1,719
4,313
1,907
10,978
1,235
5,770
3,527
4,753
3,42
6,718
7,36
10,79
6,265
5,761
10,33
8,285
4,408
10,680
8,97
6,866
6,251
6,965
3,530
9,725
5,310
1,557
9,514
7,901
2,756
7,935
5,510
9,263
1,166
6,893
9,822
2,873
6,405
6,233
7,249
8,675
2,67
5,225
6,524
7,950
1,986
10,241
5,444
5,206
7,741
9,419
10,342
10,119
1,503
3,317
2,930
10,187
8,215
1,177
5,332
1,122
2,989
10,745
9,152
3,472
10,269
4,918
10,929
8,582
2,519
3,315
5,918
7,419
5,773
9,157
4,988
1,675
8,704
2,817
4,968
5,427
8,465
6,387
3,668
3,969
1,463
9,406
10,126
5,322
7,40
2,260
4,359
1,346
2,925
4,356
8,163
6,590
5,590
1,427
4,39
7,622
8,498
2,850
4,218
4,818
8,801
6,408
3,296
2,694
7,111
5,973
7,374
7,944
10,250
2,487
5,155
10,533
5,441
9,76
1,813
9,735
10,305
2,529
10,479
1,972
6,371
4,725
10,296
1,301
2,821
5,638
4,617
5,885
3,752
2,306
9,653
5,618
2,449
9,593
6,836
4,641
4,965
1,656
7,631
5,966
8,529
1,445
2,704
1,288
9,543
9,544
8,739
10,950
1,174
9,687
4,91
10,332
1,140
2,315
10,921
8,769
6,660
1,678
9,116
2,497
8,500
10,406
7,235
10,813
7,224
6,738
1,259
4,929
1,671
7,800
7,672
2,512
8,879
2,15
1,216
9,346
4,551
9,725
4,987
1,394
4,443
1,796
1,312
6,995
5,431
1,683
1,503
4,767
7,501
5,708
6,451
3,383
5,399
10,430
7,226
4,504
1,460
10,539
1,465
10,942
3,487
8,336
8,901
10,327
9,683
7,481
4,774
7,736
3,427
1,134
8,492
8,189
3,786
2,672
2,219
1,471
7,318
8,503
7,482
7,510
2,980
10,312
1,868
2,523
2,492
10,479
2,58
3,35
5,624
7,897
2,397
6,186
10,44
1,156
8,698
10,911
8,509
1,70
6,269
8,999
4,943
3,41
3,314
4,282
3,413
7,819
10,912
10,510
10,863
7,921
6,89
5,140
2,929
4,958
10,613
1,707
4,422
5,629
4,366
10,793
3,766
7,491
1,764
2,421
8,781
4,84
10,192
8,482
4,948
4,774
2,719
3,423
8,216
9,185
9,903
5,154
3,327
1,66
10,959
9,830
4,215
2,247
6,904
2,427
10,461
10,230
5,893
2,576
2,956
4,159
5,874
10,317
2,360
7,615
3,23
4,442
9,695
6,113
8,946
4,859
4,443
5,873
10,234
1,982
4,857
6,344
9,862
4,682
3,782
7,851
6,151
3,980
3,952
4,298
9,253
2,681
9,402
2,660
5,913
8,851
10,698
8,5
1,948
8,592
1,271
8,91
2,671
6,838
4,338
3,16
9,391
4,870
1,34
10,788
10,976
4,311
7,942
6,399
1,510
7,562
9,111
8,913
7,385
3,212
9,466
3,431
5,666
10,251
4,266
2,822
5,699
5,588
3,467
8,455
8,504
2,1000
9,157
7,306
8,637
6,736
8,773
7,923
1,229
8,291
6,45
8,165
10,53
5,368
9,45
5,990
4,956
7,361
6,441
4,775
10,44
7,442
6,57
1,555
10,661
8,371
2,288
2,116
6,586
1,717
10,89
8,159
9,346
3,77
8,399
2,703
9,318
9,709
7,738
3,76
7,594
3,820
7,590
7,877
4,373
2,215
1,449
5,511
3,693
7,291
6,348
