Los datos a continuación se encuentran en formato (F,b) donde 'F' es la suma de los tiempos de finalización correspondientes y 'b' la importacia de la batalla:
63,50
85,5
21,40
17,74
6,30
92,18
96,7
74,76
86,99
88,86
3,2
68,34
27,11
7,88
53,29
26,66
80,58
49,19
28,85
3,6
10,48
40,16
85,53
45,91
12,5
93,100
18,8
89,92
14,53
13,25
5,86
17,71
41,4
95,35
77,51
4,73
61,97
86,80
76,10
77,82
18,8
63,1
51,30
48,36
62,95
73,64
83,59
56,94
45,23
30,97
5,33
20,11
23,26
88,67
34,14
13,65
33,21
34,87
44,30
57,81
64,16
94,50
84,7
88,15
61,36
45,96
44,22
66,99
2,59
29,80
12,40
24,53
3,86
89,5
71,78
79,9
5,19
94,10
53,15
66,3
23,93
58,33
18,87
17,72
57,24
71,82
83,13
55,60
6,68
29,65
92,33
23,22
32,46
95,62
45,71
34,40
30,53
28,61
67,19
60,55
81,87
3,71
57,45
47,36
58,55
37,50
58,17
56,23
21,46
20,23
100,27
55,85
32,90
24,51
84,80
57,10
23,49
60,63
83,51
89,63
70,79
28,67
47,26
19,11
64,72
66,28
32,18
89,44
37,42
84,71
91,86
4,77
11,34
51,12
16,33
35,100
28,12
82,7
63,72
56,24
96,50
79,97
14,2
75,95
32,86
79,4
39,38
18,100
23,17
33,98
57,66
12,48
30,20
31,95
80,71
2,96
93,26
21,77
37,58
81,30
9,70
49,95
67,11
18,25
72,30
37,94
6,68
42,44
10,17
34,65
8,60
25,5
47,34
99,38
24,21
100,41
100,64
20,37
70,38
78,17
41,82
45,34
64,97
55,66
13,87
98,8
51,70
87,75
42,20
31,73
3,6
32,52
51,85
34,14
21,21
9,44
41,80
100,77
76,89
67,42
69,86
93,12
10,83
3,90
37,51
60,9
18,80
63,72
59,84
75,57
85,75
32,34
6,7
30,32
65,48
91,99
36,28
9,48
5,58
31,100
67,57
87,56
96,51
16,41
27,26
7,99
71,100
64,30
100,36
12,19
63,57
93,95
36,4
30,99
63,22
62,60
38,43
66,34
79,72
71,24
52,51
60,46
43,72
71,23
94,7
49,52
39,81
84,32
61,24
68,80
98,50
97,87
48,70
73,89
87,63
55,10
45,9
98,24
32,10
35,88
87,17
44,73
57,45
10,89
17,49
90,96
13,11
85,69
84,64
82,35
57,47
62,86
16,5
83,50
16,48
8,35
80,73
56,9
8,27
79,31
30,89
98,41
31,76
39,63
33,35
40,6
74,21
23,59
83,19
83,93
71,62
81,85
40,3
85,60
69,82
22,1
50,91
96,49
9,56
48,77
58,49
30,82
19,54
4,87
72,51
53,46
79,47
80,76
47,10
51,67
72,98
42,13
76,80
2,31
91,32
95,49
34,94
9,99
4,26
95,34
40,62
37,42
88,14
13,22
32,92
2,63
23,33
49,58
94,24
68,90
69,82
12,37
82,9
19,73
45,38
58,35
6,59
24,36
88,47
60,10
88,63
43,33
16,80
21,91
65,20
22,30
22,5
33,18
88,3
58,49
22,27
65,25
9,42
9,4
2,92
9,88
91,93
54,73
21,75
3,47
53,43
78,99
20,92
43,86
37,89
68,91
39,14
20,13
36,39
95,49
69,37
83,60
73,87
69,81
68,78
37,81
29,58
53,48
79,86
6,77
62,36
20,89
48,14
9,66
58,79
6,92
79,59
30,68
11,30
64,12
69,8
55,92
32,38
18,82
70,40
90,30
47,25
40,44
79,56
46,1
26,37
81,28
58,36
70,40
78,29
28,45
44,57
16,77
49,86
53,20
95,36
4,24
12,92
29,14
60,81
44,10
64,47
81,84
77,89
40,83
12,37
56,80
11,76
82,53
21,33
12,94
14,97
59,35
88,34
47,54
94,33
99,43
90,27
96,37
69,47
77,48
20,63
87,80
57,40
50,94
71,57
55,17
69,8
40,72
78,72
46,62
11,29
11,76
15,61
69,56
16,72
21,70
21,38
3,18
63,85
88,50
31,33
69,8
64,66
70,16
65,54
53,74
47,63
33,86
23,36
90,36
47,47
82,64
53,65
100,10
10,84
50,69
26,44
69,46
87,72
96,14
82,86
14,54
86,42
30,40
98,51
16,26
46,96
80,42
20,30
75,88
62,74
72,23
91,27
14,80
93,54
52,89
66,65
69,63
16,52
68,57
85,54
76,67
27,9
81,26
81,94
85,14
85,45
60,39
75,100
16,91
13,47
73,13
9,87
79,80
99,25
18,38
10,70
60,82
7,97
44,11
70,57
87,55
48,47
82,94
42,31
39,42
79,75
84,100
88,54
100,6
99,30
54,89
11,47
66,57
9,65
26,9
83,16
98,64
56,28
44,23
38,76
67,86
35,11
41,58
100,96
19,73
53,6
95,68
81,77
39,51
41,6
37,84
57,77
64,38
26,44
82,73
69,37
35,2
41,57
6,1
18,26
99,56
23,54
40,60
95,67
36,12
62,20
21,69
25,3
60,63
6,64
82,25
98,86
93,61
70,37
96,99
55,12
42,9
35,43
37,71
85,81
1,4
57,38
48,6
96,92
91,68
31,54
87,51
2,50
53,14
1,1
34,13
86,80
6,25
66,59
17,13
38,81
65,40
25,41
4,57
48,54
7,76
45,94
30,84
37,55
33,50
85,60
53,46
51,94
69,73
32,98
3,32
46,68
1,100
29,49
33,80
46,51
67,96
22,78
89,77
9,85
20,95
98,58
53,23
68,42
82,94
26,30
84,24
94,67
39,37
35,37
11,78
56,84
84,33
56,28
64,82
32,21
57,74
23,97
92,65
9,2
8,59
50,62
15,21
90,60
99,38
41,19
42,32
67,100
69,70
32,93
15,70
31,84
39,5
87,18
15,17
45,17
88,78
76,32
6,93
39,90
75,41
99,73
17,91
87,19
60,4
45,25
9,44
52,65
27,90
77,100
91,71
24,22
74,28
98,24
98,73
67,88
54,27
84,49
83,66
20,73
31,46
58,62
8,23
24,3
48,37
27,39
21,43
85,96
74,16
25,11
21,98
19,12
100,30
59,73
67,26
82,20
2,54
25,26
27,54
81,74
52,3
26,23
56,79
40,99
11,60
51,34
70,74
17,73
48,15
12,87
48,19
75,31
35,56
96,10
87,29
66,82
77,46
95,39
49,45
17,20
51,11
5,47
34,27
13,59
57,82
38,52
22,32
46,27
67,38
73,92
24,86
43,42
19,25
5,67
87,100
72,54
99,54
12,52
83,12
49,4
53,24
23,1
90,95
7,56
41,77
26,29
75,67
99,4
67,80
72,54
44,22
15,97
91,57
12,100
65,49
84,77
50,59
58,35
35,24
80,56
53,94
85,92
33,55
11,76
22,48
31,32
23,19
91,49
82,48
41,98
98,12
46,15
70,88
33,21
7,58
83,57
78,96
56,2
57,61
66,46
26,63
10,88
2,42
34,27
36,95
92,73
85,92
26,78
60,89
14,77
81,90
5,2
67,33
91,16
75,41
52,75
82,16
57,84
52,27
74,82
46,3
45,2
88,14
3,29
42,79
6,55
