Los datos a continuación se encuentran en formato (F,b) donde 'F' es la suma de los tiempos de finalización correspondientes y 'b' la importacia de la batalla:
343,5
790,8
285,7
529,1
378,8
59,2
227,1
258,2
442,10
516,4
317,5
475,8
827,3
205,8
752,8
40,4
108,9
36,10
902,2
92,10
901,3
860,2
800,8
624,1
704,3
348,7
834,10
176,5
137,2
517,10
194,8
643,4
616,3
928,9
878,9
913,7
575,7
379,2
267,4
669,8
682,6
484,5
606,1
378,8
661,10
375,8
713,5
12,8
22,2
510,3
169,2
186,6
121,9
206,8
906,9
751,8
483,10
461,8
992,7
834,2
389,3
790,7
928,4
487,7
270,10
942,4
676,7
817,3
262,3
593,2
244,8
503,5
35,10
491,3
789,10
842,2
529,6
738,8
385,9
947,1
678,3
670,9
447,5
14,6
896,2
809,4
321,2
754,10
600,9
957,10
900,6
796,7
342,2
742,1
505,4
270,9
808,6
496,4
644,2
920,2
194,8
586,10
634,6
980,6
986,7
789,1
86,2
730,6
884,1
252,2
730,8
248,7
988,7
991,8
617,9
710,4
635,7
825,2
996,4
182,9
37,8
969,3
326,4
272,6
372,2
864,8
545,3
241,5
207,8
184,5
619,7
380,6
716,3
69,6
873,8
417,5
985,7
798,1
647,5
937,1
18,9
820,4
235,4
232,7
535,3
618,4
968,3
272,7
648,4
64,9
718,7
326,10
895,2
510,1
269,8
265,10
128,10
355,5
964,5
21,3
309,10
168,2
182,4
461,7
806,1
969,7
123,2
245,10
719,5
93,8
605,3
110,9
41,6
71,4
984,9
232,3
207,3
987,4
942,6
455,5
865,10
115,10
990,6
34,8
935,4
469,4
549,6
323,6
33,3
76,6
833,4
220,4
112,9
251,9
882,1
207,7
703,5
103,4
41,8
75,7
551,10
611,5
374,8
628,1
842,6
741,9
162,3
715,8
250,2
979,7
348,10
396,5
204,3
719,5
36,9
518,5
202,5
919,6
156,5
466,3
588,10
410,7
563,6
71,6
954,2
324,2
839,2
144,10
604,5
633,2
715,6
535,9
670,2
771,7
444,8
729,10
23,6
600,8
147,3
336,5
143,5
303,6
230,1
890,4
406,3
29,5
727,2
986,2
664,6
924,3
704,10
11,8
621,1
250,7
808,5
200,3
432,4
64,2
154,8
690,1
41,3
861,2
999,9
224,3
790,2
430,9
577,4
979,6
859,4
854,5
266,6
560,10
478,3
384,4
231,4
938,7
983,7
437,10
749,10
895,8
800,8
561,5
184,10
199,10
854,9
242,3
777,3
950,1
321,3
170,7
729,8
556,8
954,3
621,2
677,1
280,10
867,4
848,9
926,8
156,4
474,3
497,8
550,5
804,3
305,7
950,10
186,6
255,2
493,10
784,3
217,1
506,2
645,2
29,2
547,5
368,10
271,6
957,4
990,2
318,6
152,2
